episode_number,host,bright_spot
1001,Dan,Getting the Knowledge Fight buttons out to listeners.
1001,Jordan,"New Mogwai album sounds different, sparking nostalgic feelings."
1002,Dan,Playing Control
1002,Jordan,Alex Horne Cameo
1002,Jordan,"Liza Treager's new special, Night Owl"
1003,Dan,Watching the latest episode of The Traitors and enjoying the season's drama.
1003,Dan,Anticipating the disastrous ending of The Traitors season.
1003,Jordan,"Checking back in on eating weird foods, namely cheddar soaked in espresso martini."
1003,Jordan,"Visiting the grocery store that shall not be named, and finding one-off oddities."
1004,Dan,New Weeknd album
1004,Jordan,New season of *The Challenge: All Stars*
1005,Dan,Watching The Penguin series.
1005,Dan,The author Doctorow is considered sexy by Dan.
1005,Jordan,Vacation planning and imagining Rockapella's existence.
1005,Jordan,The Where in the World Is Robert Del Rio show
1006,Dan,A new season of *The Great Pottery Throw Down*
1006,Jordan,Checking back in with weird foods that are gonna be eaten in 2025
1007,Dan,"The buttons are not all sent, but they are coming."
1007,Dan,"Dan has not bought a winter coat yet, but is making it through the winter so far."
1007,Jordan,"Fanny, Jordan's dog, is recovering from an abscess on her face."
1007,Jordan,Jordan is grateful for his wife's mom and her vet.
1009,Dan,Valentine's Day dinner with wife: steak with Brussels sprouts and bacon.
1009,Jordan,Plant watch update: purple and white peppers flowering.
1010,Dan,Finally receiving a new chair after a previous order was canceled.
1010,Dan,Learning about a potential 'sponch' flavor of marshmallow
1010,Jordan,"Trying a peanut butter and jelly M&M, although it was underwhelming."
1010,Jordan,"Trying Rice Krispie Treat flavored Peeps, which he found to be a confusing flavor combination."
1010,Jordan,Discovering 'sponch' coconut strawberry jam marshmallow and biscuit exists
1011,Dan,"Enjoying playing the new video game Warriors Abyss, despite initially being skeptical."
1011,Dan,"Finds it scratches the itch that Dynasty Warriors games do so well, with its large roster of characters and unique moves."
1011,Dan,"Enjoying the chaos of Warriors Abyss, unlocked Lu Bu."
1011,Jordan,"Enjoys watching Jamali Maddix's videos on Vice, finding them reminiscent of Louis Theroux's ""Weird Weekends""."
1011,Jordan,"Appreciates the British person interacting jovially with American weirdos, and Jamali's ability to be critical without being hostile."
1013,Dan,Having the dog groomed and fixed up.
1013,Jordan,Trying Post Malone's Oreo while listening to his music for the first time.
1014,Dan,"Celene, the cat, laid on his chest, trying to stop him from reading."
1014,Jordan,"Reading the graphic novel Monstress, featuring an original story and astonishing artwork."
1016,Dan,Finishing tattoo
1016,Jordan,Pinky ring with FFA emblem
1017,Dan,Bon Iver's new album and the realization that the listener base is now just 'old people'
1017,Jordan,Finding a 50-cent piece on the ground
1017,Jordan,"The Arby's slogan, 'We have the meats,' and its hostile delivery"
1018,Dan,Playing tennis for the first time this year
1018,Dan,Winning a set of tennis against Ben for the first time ever
1018,Jordan,Pinky ring life evaluations
1018,Jordan,Trying fun foods sent to the PO box
1019,Dan,New haircut while wearing a pinky ring
1019,Dan,"Playing the new Assassins Creed game, which is very woke."
1019,Jordan,Third wedding anniversary celebration.
1020,Dan,Opening day of baseball
1020,Dan,Cubs are already 0 and 2
1020,Jordan,Baseball season starting
1020,Jordan,Potential baseball game with Dan
1021,Dan,"Listening to The George Lucas Talk Show, particularly the episode with Seth Rogen, Jon Hamm, and Rich Sommer."
1021,Dan,The show evokes the feeling of peeking into an insane and dangerous comedy thing.
1021,Jordan,Playing tennis with his wife now that the weather is improving.
1021,Jordan,Wife is getting very strong and is hitting the shit out of the ball.
1022,Dan,"The show ""Secret Millionaire"""
1022,Jordan,Liberation Day (Trump announcing liberation from tariffs)
364,Dan,"That Alex took a strange approach and barely even talked about the events in Boston being in a shelter in place request, about how an MIT police officer had been murdered the night before, about how there had been a shootout in a residential neighborhood. Better for everybody, I guess."
364,Jordan,The suspect is apprehended.
364,Jordan,The people of Boston can begin to heal.
410,Dan,Jalapeno cheddar Pop Corners chips: A delicious snack that is being hoarded for potential end times or just pure enjoyment.
410,Jordan,"Steven Universe Future: A show about recovery from PTSD and finding yourself, providing comfort during difficult times."
412,Dan,"Watching a blind speed race of Super Mario Maker levels on Awesome Games Done Quick, and being mesmerized by the learning, techniques, and movements."
412,Jordan,"Listening to The 69 Boys album, 'The Wait Is Over', and finding it as ridiculous and fun as remembered."
413,Dan,Finding funny reviews of Klondike donut bars online
413,Jordan,"The new Thundercat album and its track 'Unrequited Love,' which plays on the spelling of 'un-requited'"
414,Dan,The Knowledge Fight subreddit (reddit.com/r/knowledgefight).
414,Jordan,"Documentaries, especially hyper-specific ones like 'Fastball' or the Mike Tyson's Punch-Out record high score documentary."
414,Jordan,"The return of sports and competition, especially baseball."
415,Dan,Discovering frozen hash brown patties at the store.
415,Jordan,"Discovering a book series by Anne McCaffrey: Dragon Song and Dragon Singer, about a girl pursuing music in a restrictive school."
416,Dan,A generous gift from King of the Raptor Princesses John
416,Jordan,"Wrestlemania weekend, despite initial reservations"
417,Dan,Appearing on Opening Arguments podcast
417,Jordan,Night two of WrestleMania
