episode_number,origin_format,type,episode_length
1,txt,otter,01:41:18
2,txt,otter,01:46:53
3,txt,otter,01:29:17
4,txt,otter,01:28:05
5,txt,otter,01:48:52
6,txt,otter,02:02:24
7,txt,otter,01:35:48
8,txt,otter,02:28:37
9,txt,otter,03:10:02
10,txt,otter,01:55:14
11,txt,otter,01:55:43
12,txt,otter,02:02:29
13,txt,otter,02:31:52
14,txt,otter,02:47:20
15,txt,otter,02:10:02
16,txt,otter,02:03:24
17,txt,otter,01:29:28
18,txt,otter,02:05:05
19,txt,otter,02:22:40
20,txt,otter,02:16:19
21,txt,otter,02:16:08
22,txt,otter,02:23:27
23,txt,otter,03:01:23
24,txt,otter,02:13:32
25,json,fek,02:38:09
26,txt,otter,02:56:43
27,txt,otter,02:00:25
28,txt,otter,01:54:51
29,txt,otter,02:06:18
30,txt,otter,03:04:42
31,txt,otter,02:10:38
32,txt,otter,01:57:31
33,txt,otter,02:16:11
34,txt,otter,02:48:25
35,txt,otter,02:07:46
36,txt,otter,02:15:42
37,txt,otter,01:34:16
38,txt,otter,03:26:18
39,txt,otter,01:11:22
40,txt,otter,02:48:00
41,txt,otter,03:40:23
42,txt,otter,02:04:02
43,txt,otter,01:54:53
44,txt,otter,01:13:16
45,txt,otter,02:58:32
46,txt,otter,03:03:37
47,txt,otter,02:38:26
48,txt,otter,01:48:38
49,txt,otter,02:38:12
50,json,fek,00:29:45
51,txt,otter,01:53:37
52,txt,otter,02:54:38
53,txt,otter,01:53:29
54,srt,autosub,02:34:49
55,srt,autosub,01:12:54
56,srt,autosub,02:12:35
57,srt,autosub,03:08:04
58,srt,autosub,01:56:58
59,srt,autosub,02:18:27
60,srt,autosub,01:55:16
61,srt,autosub,02:05:50
62,srt,autosub,03:29:08
63,srt,autosub,02:29:01
64,srt,autosub,02:53:00
65,srt,autosub,01:42:37
66,vtt,whisper,04:01:44
67,srt,autosub,01:41:17
68,txt,otter,03:06:51
69,srt,autosub,01:47:10
70,srt,autosub,01:54:02
71,srt,autosub,02:28:51
72,srt,autosub,01:41:53
73,srt,autosub,03:04:13
74,srt,autosub,01:57:31
75,srt,autosub,01:39:23
76,srt,autosub,01:39:27
77,srt,autosub,02:34:33
78,srt,autosub,03:07:58
79,srt,autosub,02:03:16
80,srt,autosub,03:23:47
81,srt,autosub,00:53:46
82,srt,autosub,03:09:24
83,srt,autosub,02:44:34
84,srt,autosub,01:48:33
85,srt,autosub,01:34:04
86,srt,autosub,02:02:16
87,srt,autosub,01:36:31
88,srt,autosub,02:14:47
89,srt,autosub,01:44:00
90,srt,autosub,01:40:12
91,srt,autosub,01:21:00
92,srt,autosub,01:22:13
93,srt,autosub,02:52:16
94,srt,autosub,01:31:19
95,srt,autosub,01:26:17
96,srt,autosub,01:33:47
97,srt,autosub,01:41:40
98,srt,autosub,03:02:00
99,txt,otter,02:11:57
100,srt,autosub,03:22:51
101,srt,autosub,01:11:35
102,srt,autosub,01:48:39
103,srt,autosub,01:38:48
104,srt,autosub,02:06:36
105,srt,autosub,01:55:25
106,srt,autosub,01:56:42
107,srt,autosub,01:58:45
108,srt,autosub,02:16:18
109,srt,autosub,02:02:45
110,srt,autosub,01:40:48
111,srt,autosub,02:44:31
112,srt,autosub,03:23:21
113,srt,autosub,01:58:23
114,srt,autosub,01:06:27
115,srt,autosub,02:09:25
116,srt,autosub,02:21:05
117,srt,autosub,01:53:46
118,srt,autosub,02:36:13
119,srt,autosub,01:13:41
120,srt,autosub,01:35:09
121,srt,autosub,01:01:33
122,srt,autosub,01:47:11
123,srt,autosub,01:42:08
124,srt,autosub,01:35:56
125,srt,autosub,01:32:51
126,srt,autosub,01:38:22
127,srt,autosub,02:51:41
128,srt,autosub,02:11:42
129,srt,autosub,01:51:04
130A,srt,autosub,02:00:02
130B,srt,autosub,01:46:58
130C,srt,autosub,02:08:38
130D,srt,autosub,01:39:37
130E,srt,autosub,01:52:11
131,srt,autosub,01:38:49
132,srt,autosub,00:33:03
133,srt,autosub,02:29:57
134,srt,autosub,01:25:12
135,srt,autosub,01:53:15
136,srt,autosub,01:55:40
137,srt,autosub,01:35:16
138,srt,autosub,02:36:19
139,srt,autosub,01:37:42
140,srt,autosub,01:06:53
141,srt,autosub,02:44:14
142,srt,autosub,01:17:03
143,srt,autosub,01:30:53
144,srt,autosub,02:14:32
145,srt,autosub,00:50:29
146,srt,autosub,01:52:15
147,srt,autosub,01:26:37
148,srt,autosub,01:38:07
149,srt,autosub,02:18:44
150,srt,autosub,01:53:31
151,srt,autosub,01:22:14
152,srt,autosub,01:53:29
153,srt,autosub,01:06:03
154,srt,autosub,01:21:48
155,srt,autosub,02:03:46
156,srt,autosub,01:33:27
157,srt,autosub,02:10:35
158,srt,autosub,01:33:45
159,srt,autosub,01:25:00
160,srt,autosub,01:54:49
161,srt,autosub,01:51:21
162,srt,autosub,01:44:16
163,srt,autosub,02:08:04
164,srt,autosub,01:59:04
165,srt,autosub,02:20:24
166,srt,autosub,01:52:54
167,srt,autosub,02:23:48
168,srt,autosub,02:34:17
169,srt,autosub,01:23:54
170,srt,autosub,01:10:07
171,srt,autosub,02:51:31
172,srt,autosub,01:22:56
173,srt,autosub,01:58:36
174,srt,autosub,01:22:35
175,srt,autosub,01:58:30
176,srt,autosub,02:44:03
177,srt,autosub,01:51:51
178,srt,autosub,02:40:36
179,srt,autosub,02:28:28
180,srt,autosub,02:21:22
181,srt,autosub,02:29:29
182,srt,autosub,01:13:37
183,srt,autosub,01:38:08
184,srt,autosub,02:50:47
185,srt,autosub,02:13:57
186,srt,autosub,02:43:10
187,srt,autosub,01:32:22
188,srt,autosub,02:52:48
189,srt,autosub,02:41:47
190,srt,autosub,02:40:41
191,srt,autosub,01:53:07
192,srt,autosub,01:56:30
193,srt,autosub,01:13:12
194,srt,autosub,02:00:53
195,srt,autosub,01:42:45
196,srt,autosub,01:45:46
197,srt,autosub,01:05:50
198,srt,autosub,03:10:45
199,srt,autosub,02:11:21
200,srt,autosub,02:46:43
201,srt,autosub,01:30:02
202,srt,autosub,02:41:09
203,srt,autosub,01:35:33
204,srt,autosub,01:38:35
205,srt,autosub,02:15:44
206,srt,autosub,01:55:18
207,srt,autosub,01:42:43
208,srt,autosub,01:21:10
209,srt,autosub,03:02:07
210,srt,autosub,01:26:45
211,srt,autosub,02:13:14
212,srt,autosub,01:49:30
213,srt,autosub,02:45:16
214,srt,autosub,01:30:08
215,srt,autosub,02:16:46
216,srt,autosub,01:18:34
217,srt,autosub,02:36:40
218,srt,autosub,01:27:08
219,srt,autosub,01:32:59
220,srt,autosub,01:27:02
221,srt,autosub,01:48:40
222,txt,fek,01:50:52
223,srt,autosub,02:01:38
224,srt,autosub,01:50:31
225,srt,autosub,00:29:48
226,srt,autosub,01:19:48
227,srt,autosub,01:16:47
228,srt,autosub,01:11:05
229,srt,autosub,01:32:11
230A,srt,autosub,02:16:46
230B,srt,autosub,01:58:22
230C,srt,autosub,01:58:42
230D,srt,autosub,02:16:23
230E,srt,autosub,02:15:15
231,srt,autosub,01:16:42
232,srt,autosub,01:37:38
233,srt,autosub,01:52:19
234,srt,autosub,01:28:51
236,srt,autosub,02:12:38
237,srt,autosub,01:26:23
238,srt,autosub,02:07:56
239,srt,autosub,01:56:07
240,srt,autosub,01:31:19
241,srt,autosub,01:25:03
242,srt,autosub,02:07:47
243,srt,autosub,01:31:10
244,srt,autosub,01:48:42
245,srt,autosub,01:56:20
246,srt,autosub,02:53:22
247,srt,autosub,01:44:32
248,srt,autosub,02:41:25
249,srt,autosub,01:18:43
250,srt,autosub,01:14:37
251,srt,autosub,02:13:38
252,srt,autosub,02:05:01
253,srt,autosub,01:23:17
254,srt,autosub,01:41:59
255,srt,autosub,01:23:58
256,srt,autosub,02:00:49
257,srt,autosub,03:25:02
258,srt,autosub,01:40:02
259,srt,autosub,02:42:21
260,srt,autosub,01:48:06
261,srt,autosub,02:27:18
262,srt,autosub,01:15:12
263,srt,autosub,01:58:37
264,srt,autosub,02:56:11
265,srt,autosub,01:34:54
266,srt,autosub,02:05:45
267,srt,autosub,01:28:26
268,srt,autosub,02:00:46
269,srt,autosub,02:15:05
270,srt,autosub,04:42:40
271,srt,autosub,02:07:43
272,srt,autosub,01:18:23
273,srt,autosub,02:19:51
274,srt,autosub,01:16:05
275,srt,autosub,01:11:28
276,srt,autosub,01:41:27
277,srt,autosub,02:29:30
278,srt,autosub,01:46:03
279,txt,otter,02:24:15
280,srt,autosub,02:22:14
281,srt,autosub,01:24:21
282,srt,autosub,01:49:12
283,srt,autosub,01:25:24
284,srt,autosub,02:00:11
285,srt,autosub,01:46:37
286,srt,autosub,01:12:26
287,srt,autosub,02:37:47
288,srt,autosub,01:50:37
289,srt,autosub,01:25:53
290,srt,autosub,02:17:53
291,srt,autosub,01:54:39
292,srt,autosub,01:29:31
293,srt,autosub,02:25:10
294,srt,autosub,02:18:59
295,srt,autosub,01:27:24
296,srt,autosub,02:26:45
297,srt,autosub,02:24:03
298,srt,autosub,02:21:57
299,srt,autosub,02:02:50
300,srt,autosub,02:21:42
301,srt,autosub,01:47:58
302,srt,autosub,01:54:38
303,srt,autosub,01:49:04
304,srt,autosub,01:39:19
305,srt,autosub,01:32:28
306,srt,autosub,02:28:13
307,srt,autosub,01:07:34
308,srt,autosub,01:28:35
309,srt,autosub,02:58:03
310,txt,fek,03:24:17
311,srt,autosub,02:03:40
312,srt,autosub,01:35:04
313,srt,autosub,01:29:00
314,srt,autosub,01:42:25
315,srt,autosub,01:55:46
316,srt,autosub,01:49:34
317,srt,autosub,01:44:26
318,srt,autosub,02:07:25
319,srt,autosub,01:19:39
320,srt,autosub,01:12:13
321,srt,autosub,01:34:36
322,srt,autosub,01:59:10
323,srt,autosub,01:13:53
324,srt,autosub,01:23:19
325,srt,autosub,01:45:38
326,srt,autosub,02:21:27
327,srt,autosub,01:38:08
328,srt,autosub,01:40:52
329,srt,autosub,03:42:10
330,srt,autosub,01:27:27
331,srt,autosub,02:12:35
332,srt,autosub,01:35:57
333,srt,autosub,02:16:44
334,srt,autosub,02:19:39
335,srt,autosub,02:12:10
336,srt,autosub,01:43:22
337,srt,autosub,01:40:58
338,srt,autosub,01:17:07
339,srt,autosub,01:28:09
340,srt,autosub,01:59:11
341,srt,autosub,02:17:39
342,srt,autosub,02:51:43
343,srt,autosub,02:45:23
344,srt,autosub,01:53:41
345,srt,autosub,01:31:31
