Number,Brand,Flavor,Rating
1,Aha,Black Cherry/Coffee,83
2,Aha,Orange/Grapefruit,72
3,La Croix,Lemoncello,80
4,San Pelligrino,Clementine,55
5,Aha,Blueberry/Pomegranate,62
6,Purity Organic,Sparkling Lemon,61
7,Bubbl'r,Passion Fruit Wonder,78
8,Sparkling Ice,Strawberry Citrus,49
9,Aha,Lime Watermelon,60
10,Bai,Lambari Watermelon Lime,68
11,Bai,Peru Pineapple,39
12,Bubbl'r,Twisted Elixer,71
13,Aha,Citrus/Green Tea,51
14,La Croix,Peach-Pear,72
15,Topo Chico,Topo Chico,63
16,Bai,Jamaica Blood Orange,65
17,Bubbl'r,Pomegranate Acai Refresh'r,65
18,Bai,Coconut Lime,13
19,Yerbae,Kiwi Strawberry,57
20,Bubbl'r,Pitaya Berry Nect'r,73
21,Sparkling Ice,Black Raspberry,32
22,Sparkling Ice,Blue Raspberry,33
23,Perrier,Strawberry,74
24,Perrier,L'Orange,74
25,Voss,Lime Mint,55
26,Bubbl'r,Cherry Guava Blend'r,76
27,Bubbl'r,Blood Orange Mango Mingl'r,64
28,Aha,Apple/Ginger,68
29,Sparkling Ice,Orange/Passion Fruit,46
30,Petal,Lychee/Rose,69
31,Sparkling Ice,Triple Citrus,35
32,La Croix,Tangerine,61
33,La Croix,Orange,66
34,Petal,Lemongrass/Dandelion,72
35,La Croix,Key Lime,73
36,Hi-Ball,Vanilla,21
37,Waterloo,Lime,56
38,Petal,Mint Rose,73
39,Waterloo,Grapefruit,63
40,Waterloo,Black Cherry,30
41,Waterloo,Watermelon,67
42,Hi-Ball,Grapefruit,28
43,Polar Jr.,Pixie Lights,53
44,Polar Jr.,Yeti Mischief,57
45,Polar Jr.,Unicorn Kisses,33
46,Polar Jr.,Mermaid Songs,51
47,Polar Jr.,Dragon Whispers,54
48,Polar Jr.,Minotaur Mayhem,49
49,Whole Foods,Strawberry,65
50,La Croix,Lemon,60
51,Waterloo,Peach-Pear,61
